Variant Name,Species,Similarity,Score,Start,End
HOXC10,Tursiops truncatus (Dolphin),96.40427599611273,992.0,0,1066
HOXC10,Myotis lucifugus (Microbat),96.30709426627794,991.0,0,1067
HOXC10,Loxodonta africana (Elephant),96.40427599611273,992.0,0,1066
HOXC10,Chlorocebus sabaeus (Vervet-AGM),98.44509232264335,1013.0,0,1045
HOXC10,Mustela putorius furo (Ferret),96.30709426627794,991.0,0,1067
HOXC10,Dasypus novemcinctus (Armadillo),95.6268221574344,984.0,0,1074
HOXC10,Otolemur garnettii (Bushbaby),97.18172983479107,1000.0,0,1058
HOXC10,Procavia capensis (Hyrax),96.01554907677357,988.0,0,1070
HOXC10,Ictidomys tridecemlineatus (Squirrel),96.6958211856171,995.0,0,1063
HOXC10,Cavia porcellus (Guinea Pig),96.5986394557823,994.0,0,1064
HOXC10,Chinchilla lanigera (Long-tailed chinchilla),97.08454810495627,999.0,0,1059
HOXC10,Cricetulus griseus (Chinese hamster CriGri),95.72400388726919,985.0,0,1073
HOXC10,Microtus ochrogaster (Prairie vole),95.6268221574344,984.0,0,1074
HOXC10,Macaca nemestrina (Pig-tailed macaque),98.34791059280855,1012.0,0,1046
HOXC10,Nomascus leucogenys (Gibbon),99.22254616132167,1021.0,0,1037
HOXC10,Mus caroli (Ryukyu mouse),95.33527696793003,981.0,0,1074
HOXC10,Mus pahari (Shrew mouse),94.26627793974733,970.0,0,1085
HOXC10,Mus spretus (Algerian mouse),95.33527696793003,981.0,0,1074
HOXC10,Capra hircus (Goat (black bengal)),96.30709426627794,991.0,0,1067
HOXC10,Panthera tigris altaica (Tiger),97.37609329446065,1002.0,0,1056
HOXC10,Vulpes vulpes (Red fox),91.64237123420797,943.0,0,1112
HOXC10,Bos mutus (Wild yak),96.40427599611273,992.0,0,1066
HOXC10,Neovison vison (American mink),96.50145772594753,993.0,0,1065
HOXC10,Mus spicilegus (Steppe mouse),95.72400388726919,985.0,0,1073
HOXC10,Phascolarctos cinereus (Koala),86.68610301263362,892.0,0,1166
HOXC10,Bos taurus (Cow),88.77005347593582,996.0,0,1155
HOXC10,Peromyscus maniculatus bairdii (Northern American deer mouse),95.52964042759962,983.0,0,1072
HOXC10,Bos indicus x Bos taurus (Hybrid - Bos Taurus),88.77005347593582,996.0,0,1155
HOXC10,Propithecus coquereli (Coquerel's sifaka),97.57045675413022,1004.0,0,1054
HOXC10,Nannospalax galili (Upper Galilee mountains blind mole rat),94.99036608863199,986.0,0,1081
HOXC10,Prolemur simus (Greater bamboo lemur),97.37609329446065,1002.0,0,1056
HOXC10,Gorilla gorilla gorilla (Gorilla),99.31972789115646,1022.0,0,1036
HOXC10,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),98.73663751214772,1016.0,0,1042
HOXC10,Jaculus jaculus (Lesser Egyptian jerboa),96.7930029154519,996.0,0,1062
