Variant Name,Species,Similarity,Score,Start,End
DUXA,Tursiops truncatus (Dolphin),72.1951219512195,444.0,0,708
DUXA,Dasypus novemcinctus (Armadillo),73.8211382113821,454.0,0,698
DUXA,Ochotona princeps (Pika),75.77235772357723,466.0,0,752
DUXA,Chlorocebus sabaeus (Vervet-AGM),91.3821138211382,562.0,0,641
DUXA,Cercocebus atys (Sooty mangabey),77.5609756097561,477.0,0,639
DUXA,Nomascus leucogenys (Gibbon),80.48780487804879,495.0,0,627
DUXA,Macaca nemestrina (Pig-tailed macaque),95.44715447154472,587.0,0,643
DUXA,Panthera tigris altaica (Tiger),74.14634146341463,456.0,0,687
DUXA,Bos indicus x Bos taurus (Hybrid - Bos Taurus),70.08130081300813,431.0,0,739
DUXA,Prolemur simus (Greater bamboo lemur),84.62783171521036,523.0,0,710
DUXA,Pan troglodytes (Chimpanzee),99.34959349593497,611.0,0,619
DUXA,Propithecus coquereli (Coquerel's sifaka),76.58536585365854,471.0,0,696
DUXA,Aotus nancymaae (Ma's night monkey),87.3170731707317,537.0,0,666
DUXA,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),91.05691056910568,560.0,0,664
DUXA,Gorilla gorilla gorilla (Gorilla),99.83739837398375,614.0,0,616
DUXA,Rhinopithecus bieti (Black snub-nosed monkey),95.28455284552845,586.0,0,644
DUXA,Ursus maritimus (Polar bear),71.869918699187,442.0,0,689
DUXA,Microcebus murinus (Mouse Lemur),72.0679012345679,467.0,0,796
DUXA,Urocitellus parryii (Arctic ground squirrel),74.47154471544715,458.0,0,739
DUXA,Urocitellus parryii (Arctic ground squirrel),70.40650406504065,433.0,0,746
DUXA,Rhinopithecus roxellana (Golden snub-nosed monkey),95.1219512195122,585.0,0,645
DUXA,Panthera pardus (Leopard),73.98373983739837,455.0,0,688
DUXA,Mandrillus leucophaeus (Drill),95.60975609756098,588.0,0,642
DUXA,Pan paniscus (Bonobo),99.34959349593497,611.0,0,619
DUXA,Carlito syrichta (Tarsier),78.53658536585367,483.0,0,699
DUXA,Sciurus vulgaris (Eurasian red squirrel),72.97734627831716,451.0,0,782
DUXA,Rhinolophus ferrumequinum (Greater horseshoe bat),74.65437788018433,486.0,0,780
DUXA,Bos grunniens (Domestic yak),70.5691056910569,434.0,0,736
DUXA,Camelus dromedarius (Arabian camel),70.08130081300813,431.0,0,715
DUXA,Macaca fascicularis (Crab-eating macaque),95.1219512195122,585.0,0,645
DUXA,Pongo abelii (Sumatran orangutan),97.39837398373984,599.0,0,631
DUXA,Papio anubis (Olive baboon),95.77235772357724,589.0,0,641
DUXA,Callithrix jacchus (White-tufted-ear marmoset),89.91869918699187,553.0,0,671
DUXA,Equus caballus (Horse),84.78964401294499,524.0,0,709
DUXA,Equus asinus (Donkey),83.73983739837398,515.0,0,697
DUXA,Cebus imitator (Panamanian white-faced capuchin),91.54471544715447,563.0,0,664
DUXB,Dasypus novemcinctus (Armadillo),73.41040462427746,762.0,0,1278
DUXB,Macaca nemestrina (Pig-tailed macaque),94.3159922928709,979.0,0,1097
DUXB,Cercocebus atys (Sooty mangabey),94.41233140655106,980.0,0,1093
DUXB,Nomascus leucogenys (Gibbon),96.82080924855492,1005.0,0,1071
DUXB,Propithecus coquereli (Coquerel's sifaka),78.86647454370798,821.0,0,1258
DUXB,Pan troglodytes (Chimpanzee),98.65125240847784,1024.0,0,1052
DUXB,Gorilla gorilla gorilla (Gorilla),99.03660886319847,1028.0,0,1048
DUXB,Microcebus murinus (Mouse Lemur),78.7704130643612,820.0,0,1259
DUXB,Pan paniscus (Bonobo),98.74759152215799,1025.0,0,1051
DUXB,Mandrillus leucophaeus (Drill),94.70134874759152,983.0,0,1093
DUXB,Sciurus vulgaris (Eurasian red squirrel),72.54335260115607,753.0,0,1254
DUXB,Catagonus wagneri (Chacoan peccary),75.24084778420038,781.0,0,1256
DUXB,Oryctolagus cuniculus (Rabbit),72.25433526011561,750.0,0,1293
DUXB,Macaca mulatta (Macaque),94.50867052023122,981.0,0,1095
DUXB,Macaca fascicularis (Crab-eating macaque),94.3159922928709,979.0,0,1097
DUXB,Pongo abelii (Sumatran orangutan),97.20616570327553,1009.0,0,1067
DUXB,Papio anubis (Olive baboon),94.41233140655106,980.0,0,1096
DUXB,Equus asinus (Donkey),78.90173410404624,819.0,0,1245
