Species,Similarity
Gorilla gorilla gorilla (Gorilla),97.37919737919738
Pongo abelii (Sumatran orangutan),93.78531073446328
Nomascus leucogenys (Gibbon),92.13759213759214
Pan troglodytes (Chimpanzee),88.34876543209876
Pan paniscus (Bonobo),88.24476650563608
Rhinopithecus bieti (Black snub-nosed monkey),86.8140868140868
Macaca nemestrina (Pig-tailed macaque),83.61998361998361
Macaca mulatta (Macaque),83.2104832104832
Papio anubis (Olive baboon),82.55528255528255
Mandrillus leucophaeus (Drill),82.3914823914824
Cercocebus atys (Sooty mangabey),80.01638001638001
Aotus nancymaae (Ma's night monkey),76.41277641277642
Cebus imitator (Panamanian white-faced capuchin),70.76167076167076
