Species,Similarity
Canis lupus familiaris (Dog - Boxer),185.2355072463768
Pan troglodytes (Chimpanzee),99.81884057971014
Nomascus leucogenys (Gibbon),98.46431797651309
Chlorocebus sabaeus (Vervet-AGM),97.82608695652172
Rhinopithecus bieti (Black snub-nosed monkey),97.82608695652172
Pongo abelii (Sumatran orangutan),97.74164408310747
Papio anubis (Olive baboon),97.7355072463768
Rhinopithecus roxellana (Golden snub-nosed monkey),97.7355072463768
Cercocebus atys (Sooty mangabey),97.55434782608695
Macaca mulatta (Macaque),97.55434782608695
Mandrillus leucophaeus (Drill),97.37318840579712
Macaca nemestrina (Pig-tailed macaque),97.37318840579712
Aotus nancymaae (Ma's night monkey),96.19565217391305
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),95.7427536231884
Cebus imitator (Panamanian white-faced capuchin),95.38043478260867
Callithrix jacchus (White-tufted-ear marmoset),95.1086956521739
Propithecus coquereli (Coquerel's sifaka),94.29347826086956
Prolemur simus (Greater bamboo lemur),93.84057971014492
Physeter catodon (Sperm whale),93.20652173913044
Equus asinus (Donkey),93.20652173913044
Otolemur garnettii (Bushbaby),93.11594202898551
Equus caballus (Horse),93.02536231884058
Balaenoptera musculus (Blue whale),93.02536231884058
Felis catus (Cat),92.84420289855072
Panthera pardus (Leopard),92.84420289855072
Dasypus novemcinctus (Armadillo),92.77326106594398
Panthera leo (Lion),92.7536231884058
Phocoena sinus (Vaquita),92.7536231884058
Monodon monoceros (Narwhal),92.7536231884058
Ursus americanus (American black bear),92.7536231884058
Delphinapterus leucas (Beluga whale),92.66304347826086
Ailuropoda melanoleuca (Giant panda),92.66304347826086
Vulpes vulpes (Red fox),92.3913043478261
Myotis lucifugus (Microbat),92.21014492753623
Catagonus wagneri (Chacoan peccary),92.16216216216216
Sciurus vulgaris (Eurasian red squirrel),92.02898550724638
Oryctolagus cuniculus (Rabbit),91.981981981982
Cervus hanglu yarkandensis (Yarkand deer),91.93840579710144
Ovis aries (Sheep),91.66666666666666
Moschus moschiferus (Siberian musk deer),91.57608695652172
Ictidomys tridecemlineatus (Squirrel),91.57608695652172
Tursiops truncatus (Dolphin),91.57608695652172
Sus scrofa (Pig - Hampshire),91.55435759209344
Bos taurus (Cow),91.4855072463768
Capra hircus (Goat (black bengal)),91.4855072463768
Bos grunniens (Domestic yak),91.4855072463768
Bos indicus x Bos taurus (Hybrid - Bos Taurus),91.4855072463768
Urocitellus parryii (Arctic ground squirrel),91.39492753623188
Microcebus murinus (Mouse Lemur),91.30434782608695
Jaculus jaculus (Lesser Egyptian jerboa),91.30434782608695
Nannospalax galili (Upper Galilee mountains blind mole rat),91.21376811594205
Rhinolophus ferrumequinum (Greater horseshoe bat),91.03260869565216
Dipodomys ordii (Kangaroo rat),90.96657633243
Marmota marmota marmota (Alpine marmot),90.7608695652174
Microtus ochrogaster (Prairie vole),90.03623188405797
Gorilla gorilla gorilla (Gorilla),89.94565217391305
Cricetulus griseus (Chinese hamster CriGri),89.85507246376811
Rattus norvegicus (Rat),89.85507246376811
Mus caroli (Ryukyu mouse),89.76449275362319
Mus musculus (Mouse),89.67391304347827
Mus spicilegus (Steppe mouse),89.40217391304348
Heterocephalus glaber (Naked mole-rat),89.40217391304348
Mus spretus (Algerian mouse),89.22101449275362
Mus pahari (Shrew mouse),88.58695652173914
Mustela putorius furo (Ferret),88.4963768115942
Peromyscus maniculatus bairdii (Northern American deer mouse),87.22826086956522
Notamacropus eugenii (Wallaby),84.22939068100358
Vombatus ursinus (Common wombat),84.0
Phascolarctos cinereus (Koala),83.64444444444445
Monodelphis domestica (Opossum),82.40495137046861
Sarcophilus harrisii (Tasmanian devil),81.9298245614035
Salvator merianae (Argentine black and white tegu),81.34057971014492
Naja naja (Indian cobra),81.15942028985508
Aquila chrysaetos chrysaetos (Golden eagle),80.79710144927536
Notechis scutatus (Mainland tiger snake),80.61594202898551
