GENE_GROUP,GENE_NAME,EVALUATE
CUT,CUX,FALSE
CUT,ONECUT,FALSE
CUT,SATB,FALSE
HOXL,HOXA,TRUE
HOXL,HOXB,TRUE
HOXL,HOXC,TRUE
HOXL,HOXD,TRUE
PROS,PROX,FALSE
PRD,NOBOX,FALSE
POU,POU3,FALSE
ZF,TSHZ,FALSE
LIM,LMX1,FALSE
ZF,ZEB,FALSE
POU,HDX,FALSE
PRD,PAX,FALSE
PRD,RHOXF,FALSE
TALE,MKX,FALSE
PRD,RAX,FALSE
POU,POU1,FALSE
ZF,ZFHX,FALSE
PRD,CRX,FALSE
ZF,HOMEZ,FALSE
PRD,OTX,FALSE
TALE,PKNOX,FALSE
PRD,SEBOX,FALSE
ZF,ADNP,FALSE
PRD,PROP1,FALSE
TALE,MEIS,FALSE
PRD,UNCX,FALSE
PRD,DMBX,FALSE
HNF,HMBOX,FALSE
PRD,PHOX2,FALSE
POU,POU4,FALSE
LIM,ISL,FALSE
PRD,TPRX,FALSE
POU,POU6,FALSE
PRD,PRRX,FALSE
PRD,SHOX,FALSE
LIM,LHX,FALSE
PRD,ALX,FALSE
PRD,ESX,FALSE
ZF,ZHX,FALSE
TALE,PBX,FALSE
TALE,IRX,FALSE
PRD,HOPX,FALSE
HNF,HNF,FALSE
PRD,LEUTX,FALSE
PRD,GSC,FALSE
PRD,VSX,FALSE
PRD,DUX,FALSE
PRD,OTP,FALSE
CERS,CERS,FALSE
rRNA,RNA5S,FALSE
POU,POU2,FALSE
PRD,MIXL1,FALSE
SINE,SIX,FALSE
TALE,TGIF,FALSE
PRD,ISX,FALSE
PRD,PITX,FALSE
PRD,ARX,FALSE
PRD,HESX,FALSE
POU,POU5,FALSE
PRD,ARGFX,FALSE
rRNA,RNA58S,FALSE
PRD,DPRX,FALSE
PRD,DRGX,FALSE
HOXL,PDX,TRUE
NKL,DLX,FALSE
HOXL,GBX,TRUE
PRD,PROP,FALSE
PRD,MIXL,FALSE
HOXL,CDX,TRUE
HOXL,MNX,TRUE
NKL,HMX,FALSE
HOXL,GSX,TRUE
HOXL,EVX,TRUE
HOXL,MEOX,TRUE
