Species,Similarity
Canis lupus familiaris (Dog - Boxer),375.8566929298636
Terrapene carolina triunguis (Three-toed box turtle),251.45743977124812
Pan troglodytes (Chimpanzee),199.73753280839895
Pongo abelii (Sumatran orangutan),198.14139086272752
Papio anubis (Olive baboon),196.54524891705609
Macaca mulatta (Macaque),196.4140153212556
Cercocebus atys (Sooty mangabey),196.4140153212556
Macaca nemestrina (Pig-tailed macaque),195.88481317884043
Callithrix jacchus (White-tufted-ear marmoset),194.96617800823677
Cebus imitator (Panamanian white-faced capuchin),194.30147451080808
Gorilla gorilla gorilla (Gorilla),193.16304974073364
Prolemur simus (Greater bamboo lemur),191.76535859846786
Propithecus coquereli (Coquerel's sifaka),191.09211958261318
Camelus dromedarius (Arabian camel),190.04651857542197
Balaenoptera musculus (Blue whale),189.85221883468836
Moschus moschiferus (Siberian musk deer),189.5488601944843
Sus scrofa (Pig - Hampshire),189.41395663956638
Bos taurus (Cow),188.87135341941655
Ovis aries (Sheep),188.7310696636378
Capra hircus (Goat (black bengal)),188.59078590785907
Delphinapterus leucas (Beluga whale),187.84045369411223
Rhinolophus ferrumequinum (Greater horseshoe bat),187.61602970360414
Phocoena sinus (Vaquita),186.8323952470294
Loxodonta africana (Elephant),186.13831807609415
Urocitellus parryii (Arctic ground squirrel),185.77875936239678
Microcebus murinus (Mouse Lemur),185.31357360817702
Sciurus vulgaris (Eurasian red squirrel),184.9486801954634
Chlorocebus sabaeus (Vervet-AGM),184.74382775323818
Rhinopithecus roxellana (Golden snub-nosed monkey),181.32215180419522
Rhinopithecus bieti (Black snub-nosed monkey),181.32215180419522
Felis catus (Cat),180.8383506659369
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),180.79294966178009
Mandrillus leucophaeus (Drill),180.6659838251926
Pan paniscus (Bonobo),180.31496062992125
Nomascus leucogenys (Gibbon),180.1581204788426
Microtus ochrogaster (Prairie vole),180.11010818769606
Cricetulus griseus (Chinese hamster CriGri),179.60651260055909
Rattus norvegicus (Rat),179.46247572711945
Mus spicilegus (Steppe mouse),179.344045408958
Mus musculus (Mouse),179.08584597657
Mus spretus (Algerian mouse),178.81911102575594
Mus caroli (Ryukyu mouse),178.2813733649147
Heterocephalus glaber (Naked mole-rat),178.21415615730962
Bos grunniens (Domestic yak),178.17256027231554
Vombatus ursinus (Common wombat),170.16089452233103
Taeniopygia guttata (Zebra finch),165.13454110919065
Aquila chrysaetos chrysaetos (Golden eagle),164.31726521989629
Gallus gallus (Chicken),163.91076115485566
Strigops habroptila (Kakapo),163.3730234940145
Aotus nancymaae (Ma's night monkey),98.6449864498645
Macaca fascicularis (Crab-eating macaque),98.50948509485094
Catagonus wagneri (Chacoan peccary),96.61246612466124
Carlito syrichta (Tarsier),96.4769647696477
Physeter catodon (Sperm whale),96.4769647696477
Cervus hanglu yarkandensis (Yarkand deer),96.34146341463416
Equus asinus (Donkey),96.34146341463416
Monodon monoceros (Narwhal),96.34146341463416
Bos mutus (Wild yak),95.9349593495935
Bos indicus x Bos taurus (Hybrid - Bos Taurus),95.79945799457995
Nannospalax galili (Upper Galilee mountains blind mole rat),95.6639566395664
Jaculus jaculus (Lesser Egyptian jerboa),95.52845528455283
Vulpes vulpes (Red fox),95.39295392953927
Dasypus novemcinctus (Armadillo),95.39295392953927
Ailuropoda melanoleuca (Giant panda),95.25745257452574
Cavia porcellus (Guinea Pig),95.25745257452574
Ursus americanus (American black bear),95.1219512195122
Octodon degus (Degu),95.1219512195122
Ochotona princeps (Pika),94.98644986449864
Ursus maritimus (Polar bear),94.98644986449864
Panthera pardus (Leopard),94.98644986449864
Myotis lucifugus (Microbat),94.89247311827955
Panthera leo (Lion),94.85094850948512
Chinchilla lanigera (Long-tailed chinchilla),94.85094850948512
Peromyscus maniculatus bairdii (Northern American deer mouse),94.71544715447156
Panthera tigris altaica (Tiger),94.71544715447156
Otolemur garnettii (Bushbaby),94.71544715447156
Marmota marmota marmota (Alpine marmot),94.579945799458
Mesocricetus auratus (Golden Hamster),94.44444444444444
Ictidomys tridecemlineatus (Squirrel),94.44444444444444
Mus pahari (Shrew mouse),93.90243902439023
Mustela putorius furo (Ferret),92.4119241192412
Procavia capensis (Hyrax),91.76470588235294
Bison bison bison (American bison),90.37940379403794
Monodelphis domestica (Opossum),90.2439024390244
Notamacropus eugenii (Wallaby),90.10840108401084
Phascolarctos cinereus (Koala),90.10840108401084
Sarcophilus harrisii (Tasmanian devil),89.56639566395664
Ornithorhynchus anatinus (Platypus),87.26287262872629
Equus caballus (Horse),87.23958333333334
Chelonoidis abingdonii (Abingdon island giant tortoise),86.1788617886179
Podarcis muralis (Common wall lizard),84.94623655913979
Parus major (Great Tit),84.82384823848238
Oryctolagus cuniculus (Rabbit),84.34886499402629
Ficedula albicollis (Collared flycatcher),83.73983739837398
