Variant Name,Species,Similarity,Score,Start,End
PRRX1,Latimeria chalumnae (Coelacanth),80.91397849462365,602.0,0,880
PRRX1,Myotis lucifugus (Microbat),94.89247311827957,706.0,0,776
PRRX1,Tetraodon nigroviridis (Tetraodon),80.89430894308943,597.0,0,876
PRRX1,Ochotona princeps (Pika),94.98644986449864,701.0,0,775
PRRX1,Dasypus novemcinctus (Armadillo),95.39295392953929,704.0,0,772
PRRX1,Loxodonta africana (Elephant),93.22493224932249,688.0,0,785
PRRX1,Poecilia formosa (Amazon molly),80.89430894308943,597.0,0,879
PRRX1,Chlorocebus sabaeus (Vervet-AGM),86.44986449864498,638.0,0,754
PRRX1,Otolemur garnettii (Bushbaby),94.71544715447155,699.0,0,777
PRRX1,Mustela putorius furo (Ferret),92.41192411924119,682.0,0,794
PRRX1,Gasterosteus aculeatus (Stickleback),81.84281842818429,604.0,0,872
PRRX1,Notamacropus eugenii (Wallaby),90.10840108401084,665.0,0,811
PRRX1,Cavia porcellus (Guinea Pig),95.25745257452574,703.0,0,773
PRRX1,Microtus ochrogaster (Prairie vole),93.4959349593496,690.0,0,786
PRRX1,Chinchilla lanigera (Long-tailed chinchilla),94.85094850948511,700.0,0,776
PRRX1,Ictidomys tridecemlineatus (Squirrel),94.44444444444444,697.0,0,779
PRRX1,Cricetulus griseus (Chinese hamster CriGri),94.17344173441734,695.0,0,781
PRRX1,Macaca nemestrina (Pig-tailed macaque),98.50948509485094,727.0,0,749
PRRX1,Nomascus leucogenys (Gibbon),99.1869918699187,732.0,0,744
PRRX1,Cercocebus atys (Sooty mangabey),98.6449864498645,728.0,0,748
PRRX1,Mus pahari (Shrew mouse),93.90243902439023,693.0,0,780
PRRX1,Capra hircus (Goat (black bengal)),95.25745257452574,703.0,0,773
PRRX1,Mus spretus (Algerian mouse),94.17344173441734,695.0,0,778
PRRX1,Mus caroli (Ryukyu mouse),93.76693766937669,692.0,0,781
PRRX1,Panthera tigris altaica (Tiger),94.71544715447155,699.0,0,777
PRRX1,Oryzias latipes (Japanese medaka HdrR),80.43184885290148,596.0,0,883
PRRX1,Amphilophus citrinellus (Midas cichlid),81.16531165311653,599.0,0,877
PRRX1,Cyprinodon variegatus (Sheepshead minnow),81.30081300813008,600.0,0,876
PRRX1,Astatotilapia calliptera (Eastern happy),80.62330623306234,595.0,0,881
PRRX1,Pundamilia nyererei (Makobe Island cichlid),80.62330623306234,595.0,0,881
PRRX1,Xiphophorus maculatus (Platyfish),80.89430894308943,597.0,0,879
PRRX1,Sphenodon punctatus (Tuatara),83.33333333333334,620.0,0,862
PRRX1,Vulpes vulpes (Red fox),95.39295392953929,704.0,0,772
PRRX1,Notechis scutatus (Mainland tiger snake),83.46774193548387,621.0,0,861
PRRX1,Bos mutus (Wild yak),95.9349593495935,708.0,0,768
PRRX1,Chelonoidis abingdonii (Abingdon island giant tortoise),86.1788617886179,636.0,0,840
PRRX1,Anser brachyrhynchus (Pink-footed goose),83.73983739837398,618.0,0,858
PRRX1,Mus spicilegus (Steppe mouse),94.17344173441734,695.0,0,781
PRRX1,Phascolarctos cinereus (Koala),90.10840108401084,665.0,0,811
PRRX1,Salvator merianae (Argentine black and white tegu),81.85483870967742,609.0,0,873
PRRX1,Parus major (Great Tit),84.82384823848238,626.0,0,850
PRRX1,Coturnix japonica (Japanese quail),83.06233062330624,613.0,0,863
PRRX1,Bos taurus (Cow),95.79945799457995,707.0,0,769
PRRX1,Peromyscus maniculatus bairdii (Northern American deer mouse),94.71544715447155,699.0,0,777
PRRX1,Bos indicus x Bos taurus (Hybrid - Bos Taurus),95.79945799457995,707.0,0,769
PRRX1,Aquila chrysaetos chrysaetos (Golden eagle),83.73983739837398,618.0,0,858
PRRX1,Taeniopygia guttata (Zebra finch),84.68834688346884,625.0,0,851
PRRX1,Strigops habroptila (Kakapo),82.92682926829268,612.0,0,864
PRRX1,Poecilia reticulata (Guppy),80.75880758807588,596.0,0,880
PRRX1,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),98.50948509485094,727.0,0,749
