Variant Name,Species,Similarity,Score,Start,End
GSX1,Lepisosteus oculatus (Spotted gar),74.84276729559748,595.0,0,932
GSX1,Tursiops truncatus (Dolphin),80.88050314465409,643.0,0,851
GSX1,Poecilia formosa (Amazon molly),72.20125786163521,574.0,0,953
GSX1,Latimeria chalumnae (Coelacanth),66.79245283018868,531.0,0,990
GSX1,Chlorocebus sabaeus (Vervet-AGM),97.10691823899371,772.0,0,818
GSX1,Dasypus novemcinctus (Armadillo),92.45283018867924,735.0,0,852
GSX1,Mustela putorius furo (Ferret),89.30817610062893,710.0,0,847
GSX1,Tupaia belangeri (Tree Shrew),85.15723270440252,677.0,0,850
GSX1,Otolemur garnettii (Bushbaby),90.81761006289308,722.0,0,853
GSX1,Procavia capensis (Hyrax),48.80503144654088,388.0,0,818
GSX1,Sorex araneus (Shrew),89.30348258706468,718.0,0,881
GSX1,Notamacropus eugenii (Wallaby),84.40251572327044,671.0,0,907
GSX1,Ictidomys tridecemlineatus (Squirrel),91.72932330827066,732.0,0,861
GSX1,Chinchilla lanigera (Long-tailed chinchilla),81.00628930817611,644.0,0,853
GSX1,Cricetulus griseus (Chinese hamster CriGri),88.93034825870647,715.0,0,884
GSX1,Microtus ochrogaster (Prairie vole),89.05660377358491,708.0,0,876
GSX1,Nomascus leucogenys (Gibbon),98.49056603773585,783.0,0,807
GSX1,Cercocebus atys (Sooty mangabey),97.10691823899371,772.0,0,818
GSX1,Macaca nemestrina (Pig-tailed macaque),97.35849056603773,774.0,0,816
GSX1,Capra hircus (Goat (black bengal)),91.38576779026218,732.0,0,864
GSX1,Mus caroli (Ryukyu mouse),88.17610062893083,701.0,0,877
GSX1,Mus spretus (Algerian mouse),88.17610062893083,701.0,0,877
GSX1,Mus pahari (Shrew mouse),88.30188679245283,702.0,0,876
GSX1,Danio rerio (Zebrafish),71.19496855345912,566.0,0,961
GSX1,Panthera tigris altaica (Tiger),56.477987421383645,449.0,0,1138
GSX1,Oryzias melastigma (Indian medaka),71.82389937106917,571.0,0,956
GSX1,Stegastes partitus (Bicolor damselfish),72.32704402515722,575.0,0,952
GSX1,Fundulus heteroclitus (Mummichog),72.0754716981132,573.0,0,954
GSX1,Maylandia zebra (Zebra mbuna),71.69811320754717,570.0,0,957
GSX1,Amphilophus citrinellus (Midas cichlid),70.94339622641509,564.0,0,963
GSX1,Oryzias latipes (Japanese medaka HdrR),70.18867924528301,558.0,0,969
GSX1,Astatotilapia calliptera (Eastern happy),71.69811320754717,570.0,0,957
