Species,Similarity
Pan troglodytes (Chimpanzee),99.49748743718592
Pan paniscus (Bonobo),99.32998324958125
Gorilla gorilla gorilla (Gorilla),98.99497487437183
Pongo abelii (Sumatran orangutan),97.15242881072028
Nomascus leucogenys (Gibbon),94.9748743718593
Mandrillus leucophaeus (Drill),93.1323283082077
Cercocebus atys (Sooty mangabey),92.62981574539364
Papio anubis (Olive baboon),92.62981574539364
Macaca nemestrina (Pig-tailed macaque),92.46231155778896
Macaca fascicularis (Crab-eating macaque),92.29480737018424
Rhinopithecus roxellana (Golden snub-nosed monkey),91.79229480737018
Rhinopithecus bieti (Black snub-nosed monkey),91.62479061976548
Callithrix jacchus (White-tufted-ear marmoset),87.93969849246231
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),87.16666666666667
Aotus nancymaae (Ma's night monkey),85.09212730318258
