Species,Similarity
Physeter catodon (Sperm whale),170.48611111111111
Pan troglodytes (Chimpanzee),97.90575916230368
Gorilla gorilla gorilla (Gorilla),94.58987783595111
Nomascus leucogenys (Gibbon),94.24083769633508
Cercocebus atys (Sooty mangabey),93.36823734729494
Macaca fascicularis (Crab-eating macaque),93.36823734729494
Macaca nemestrina (Pig-tailed macaque),93.19371727748693
Papio anubis (Olive baboon),92.67015706806284
Rhinopithecus bieti (Black snub-nosed monkey),91.97207678883072
Rhinopithecus roxellana (Golden snub-nosed monkey),91.97207678883072
Callithrix jacchus (White-tufted-ear marmoset),87.95811518324608
Prolemur simus (Greater bamboo lemur),86.38743455497382
Ailuropoda melanoleuca (Giant panda),86.2129144851658
Carlito syrichta (Tarsier),86.2129144851658
Neovison vison (American mink),86.2129144851658
Ursus maritimus (Polar bear),86.03839441535777
Ursus americanus (American black bear),86.03839441535777
Propithecus coquereli (Coquerel's sifaka),85.86387434554975
Panthera tigris altaica (Tiger),85.68935427574172
Balaenoptera musculus (Blue whale),85.68935427574172
Panthera pardus (Leopard),85.51483420593368
Panthera leo (Lion),85.51483420593368
Felis catus (Cat),85.16579406631763
Monodon monoceros (Narwhal),85.16579406631763
Microcebus murinus (Mouse Lemur),85.16579406631763
Phocoena sinus (Vaquita),84.99127399650959
Vulpes vulpes (Red fox),84.99127399650959
Canis lupus familiaris (Dog - Boxer),84.99127399650959
Moschus moschiferus (Siberian musk deer),84.81675392670157
Delphinapterus leucas (Beluga whale),84.81675392670157
Myotis lucifugus (Microbat),84.46771378708551
Ovis aries (Sheep),84.29319371727748
Camelus dromedarius (Arabian camel),84.29319371727748
Bos grunniens (Domestic yak),84.11867364746945
Bos mutus (Wild yak),84.11867364746945
Bos taurus (Cow),83.94415357766142
Cebus imitator (Panamanian white-faced capuchin),83.7696335078534
Chinchilla lanigera (Long-tailed chinchilla),83.7696335078534
Bison bison bison (American bison),83.7696335078534
Equus asinus (Donkey),83.7696335078534
Mandrillus leucophaeus (Drill),83.7245696400626
Capra hircus (Goat (black bengal)),83.59511343804537
Chlorocebus sabaeus (Vervet-AGM),83.56807511737088
Sus scrofa (Pig - Hampshire),83.07426597582038
Sciurus vulgaris (Eurasian red squirrel),82.89703315881326
Oryctolagus cuniculus (Rabbit),82.37347294938918
Equus caballus (Horse),82.02443280977313
Urocitellus parryii (Arctic ground squirrel),81.15183246073299
Octodon degus (Degu),80.80279232111693
Ictidomys tridecemlineatus (Squirrel),80.80279232111693
Jaculus jaculus (Lesser Egyptian jerboa),80.6282722513089
Dipodomys ordii (Kangaroo rat),80.6282722513089
Peromyscus maniculatus bairdii (Northern American deer mouse),80.27923211169285
Cavia porcellus (Guinea Pig),80.27923211169285
Marmota marmota marmota (Alpine marmot),80.27923211169285
