Variant Name,Species,Similarity,Score,Start,End
GSC2,Chlorocebus sabaeus (Vervet-AGM),96.60194174757282,597.0,0,639
GSC2,Pteropus vampyrus (Megabat),86.79549114331722,539.0,0,700
GSC2,Tursiops truncatus (Dolphin),73.62459546925567,455.0,0,673
GSC2,Echinops telfairi (Lesser hedgehog tenrec),70.06472491909385,433.0,0,674
GSC2,Erinaceus europaeus (Hedgehog),84.30420711974111,521.0,0,715
GSC2,Ictidomys tridecemlineatus (Squirrel),76.94566813509545,524.0,0,775
GSC2,Microtus ochrogaster (Prairie vole),78.6046511627907,507.0,0,756
GSC2,Chinchilla lanigera (Long-tailed chinchilla),80.74433656957929,499.0,0,677
GSC2,Cricetulus griseus (Chinese hamster CriGri),81.2206572769953,519.0,0,738
GSC2,Cercocebus atys (Sooty mangabey),93.20388349514563,576.0,0,642
GSC2,Macaca nemestrina (Pig-tailed macaque),93.20388349514563,576.0,0,642
GSC2,Capra hircus (Goat (black bengal)),75.55555555555556,544.0,0,794
GSC2,Mus caroli (Ryukyu mouse),78.6046511627907,507.0,0,756
GSC2,Mus spretus (Algerian mouse),78.97196261682244,507.0,0,753
GSC2,Mus pahari (Shrew mouse),78.91472868217055,509.0,0,754
GSC2,Neovison vison (American mink),88.18770226537217,545.0,0,688
GSC2,Mus spicilegus (Steppe mouse),78.75968992248062,508.0,0,755
GSC2,Bos taurus (Cow),82.398753894081,529.0,0,731
GSC2,Bos indicus x Bos taurus (Hybrid - Bos Taurus),84.78964401294499,524.0,0,697
GSC2,Jaculus jaculus (Lesser Egyptian jerboa),83.00970873786407,513.0,0,711
GSC2,Prolemur simus (Greater bamboo lemur),89.64401294498381,554.0,0,679
GSC2,Nannospalax galili (Upper Galilee mountains blind mole rat),83.1715210355987,514.0,0,710
GSC2,Aotus nancymaae (Ma's night monkey),91.9093851132686,568.0,0,662
GSC2,Pan troglodytes (Chimpanzee),98.86731391585761,611.0,0,625
GSC2,Gorilla gorilla gorilla (Gorilla),92.55663430420712,572.0,0,625
GSC2,Microcebus murinus (Mouse Lemur),75.5663430420712,467.0,0,667
GSC2,Mesocricetus auratus (Golden Hamster),80.06230529595015,514.0,0,746
GSC2,Marmota marmota marmota (Alpine marmot),79.33634992458522,526.0,0,755
GSC2,Urocitellus parryii (Arctic ground squirrel),78.88386123680242,523.0,0,758
GSC2,Panthera pardus (Leopard),88.18770226537217,545.0,0,688
GSC2,Rhinopithecus roxellana (Golden snub-nosed monkey),75.5813953488372,585.0,0,807
GSC2,Dipodomys ordii (Kangaroo rat),84.61538461538461,528.0,0,714
GSC2,Canis lupus familiaris (Dog - Boxer),87.37864077669903,540.0,0,684
GSC2,Monodon monoceros (Narwhal),87.70226537216828,542.0,0,694
GSC2,Balaenoptera musculus (Blue whale),88.51132686084142,547.0,0,686
GSC2,Ovis aries (Sheep),85.59870550161813,529.0,0,695
GSC2,Phocoena sinus (Vaquita),88.02588996763754,544.0,0,689
GSC2,Sciurus vulgaris (Eurasian red squirrel),82.46445497630332,522.0,0,729
GSC2,Rhinolophus ferrumequinum (Greater horseshoe bat),86.40776699029125,534.0,0,696
GSC2,Bos grunniens (Domestic yak),85.11326860841424,526.0,0,698
GSC2,Panthera leo (Lion),88.18770226537217,545.0,0,688
GSC2,Macaca mulatta (Macaque),93.52750809061489,578.0,0,640
GSC2,Catagonus wagneri (Chacoan peccary),84.70209339774557,526.0,0,713
GSC2,Moschus moschiferus (Siberian musk deer),84.30420711974111,521.0,0,688
GSC2,Physeter catodon (Sperm whale),88.18770226537217,545.0,0,691
GSC2,Delphinapterus leucas (Beluga whale),87.43961352657004,543.0,0,696
GSC2,Felis catus (Cat),88.02588996763754,544.0,0,689
GSC2,Callithrix jacchus (White-tufted-ear marmoset),91.9093851132686,568.0,0,665
GSC2,Canis lupus familiaris (Dog - Boxer),87.37864077669903,540.0,0,684
GSC2,Pongo abelii (Sumatran orangutan),97.0873786407767,600.0,0,636
GSC2,Papio anubis (Olive baboon),93.85113268608414,580.0,0,638
GSC2,Sus scrofa (Pig - Hampshire),85.59870550161813,529.0,0,707
GSC2,Equus asinus (Donkey),89.32038834951457,552.0,0,681
GSC2,Equus caballus (Horse),87.36176935229068,553.0,0,698
GSC2,Cebus imitator (Panamanian white-faced capuchin),92.55663430420712,572.0,0,661
GSC2,Mus musculus (Mouse),78.91472868217055,509.0,0,754
GSC2,Rattus norvegicus (Rat),79.06976744186046,510.0,0,753
GSC2,Heterocephalus glaber (Naked mole-rat),85.59870550161813,529.0,0,704
GSC,Latimeria chalumnae (Coelacanth),70.54263565891473,546.0,0,960
GSC,Lepisosteus oculatus (Spotted gar),72.86821705426357,564.0,0,939
GSC,Myotis lucifugus (Microbat),88.24289405684755,683.0,0,847
GSC,Loxodonta africana (Elephant),91.98966408268734,712.0,0,830
GSC,Poecilia formosa (Amazon molly),77.13178294573643,597.0,0,891
GSC,Tursiops truncatus (Dolphin),95.09043927648578,736.0,0,809
GSC,Tupaia belangeri (Tree Shrew),93.28165374677002,722.0,0,820
GSC,Dasypus novemcinctus (Armadillo),83.8501291989664,649.0,0,818
GSC,Pteropus vampyrus (Megabat),94.05684754521964,728.0,0,817
GSC,Otolemur garnettii (Bushbaby),94.44444444444444,731.0,0,817
GSC,Mustela putorius furo (Ferret),95.21963824289405,737.0,0,808
GSC,Gasterosteus aculeatus (Stickleback),77.39018087855297,599.0,0,898
GSC,Chlorocebus sabaeus (Vervet-AGM),97.82051282051282,763.0,0,791
GSC,Pelodiscus sinensis (Chinese softshell turtle),77.39018087855297,599.0,0,910
GSC,Erinaceus europaeus (Hedgehog),85.78811369509044,664.0,0,869
GSC,Procavia capensis (Hyrax),92.63565891472868,717.0,0,831
GSC,Notamacropus eugenii (Wallaby),82.04134366925064,635.0,0,892
GSC,Chinchilla lanigera (Long-tailed chinchilla),91.08527131782945,705.0,0,831
GSC,Ictidomys tridecemlineatus (Squirrel),95.21963824289405,737.0,0,808
GSC,Cavia porcellus (Guinea Pig),75.96899224806202,588.0,0,873
GSC,Microtus ochrogaster (Prairie vole),90.69767441860465,702.0,0,843
GSC,Cricetulus griseus (Chinese hamster CriGri),91.98966408268734,712.0,0,833
GSC,Cercocebus atys (Sooty mangabey),97.82051282051282,763.0,0,791
GSC,Macaca nemestrina (Pig-tailed macaque),97.43589743589743,760.0,0,794
GSC,Nomascus leucogenys (Gibbon),98.96640826873386,766.0,0,782
GSC,Mus pahari (Shrew mouse),91.60206718346254,709.0,0,833
GSC,Mus caroli (Ryukyu mouse),91.98966408268734,712.0,0,830
GSC,Mus spretus (Algerian mouse),92.63565891472868,717.0,0,825
GSC,Capra hircus (Goat (black bengal)),94.44444444444444,731.0,0,817
