Species,Similarity
Pan troglodytes (Chimpanzee),99.56584659913167
Pan paniscus (Bonobo),99.51760733236856
Pongo abelii (Sumatran orangutan),99.13169319826338
Macaca nemestrina (Pig-tailed macaque),98.4081041968162
Chlorocebus sabaeus (Vervet-AGM),98.35986493005306
Macaca mulatta (Macaque),98.31162566328992
Cercocebus atys (Sooty mangabey),98.26338639652676
Aotus nancymaae (Ma's night monkey),97.44331886155332
Callithrix jacchus (White-tufted-ear marmoset),97.15388326097444
Macaca fascicularis (Crab-eating macaque),95.70670525808008
Prolemur simus (Greater bamboo lemur),94.86810551558752
Microcebus murinus (Mouse Lemur),94.43645083932851
Balaenoptera musculus (Blue whale),93.63026819923373
Sciurus vulgaris (Eurasian red squirrel),93.5158501440922
Tursiops truncatus (Dolphin),93.43869731800766
Ursus americanus (American black bear),93.32372718539864
Monodon monoceros (Narwhal),93.29501915708812
Marmota marmota marmota (Alpine marmot),93.27569644572526
Ursus maritimus (Polar bear),93.17963496637849
Camelus dromedarius (Arabian camel),93.1513409961686
Urocitellus parryii (Arctic ground squirrel),93.0355427473583
Mustela putorius furo (Ferret),92.98751200768493
Neovison vison (American mink),92.98751200768493
Felis catus (Cat),92.97739297739298
Canis lupus familiaris (Dog - Boxer),92.78499278499278
Loxodonta africana (Elephant),92.757793764988
Panthera leo (Lion),92.68879268879267
Vulpes vulpes (Red fox),92.5925925925926
Bos mutus (Wild yak),92.4808429118774
Rhinolophus ferrumequinum (Greater horseshoe bat),92.28927203065132
Ovis aries (Sheep),92.1455938697318
Catagonus wagneri (Chacoan peccary),92.09770114942528
Otolemur garnettii (Bushbaby),92.0749279538905
Moschus moschiferus (Siberian musk deer),91.90613026819923
Oryctolagus cuniculus (Rabbit),91.63140573577807
Peromyscus maniculatus bairdii (Northern American deer mouse),91.53439153439152
Mus pahari (Shrew mouse),91.52215799614645
Mus caroli (Ryukyu mouse),91.3776493256262
Physeter catodon (Sperm whale),91.31693198263386
Equus asinus (Donkey),91.31455399061032
Cricetulus griseus (Chinese hamster CriGri),91.30643611911624
Mus musculus (Mouse),91.14959114959116
Mus spretus (Algerian mouse),91.1368015414258
Mus spicilegus (Steppe mouse),91.005291005291
Mesocricetus auratus (Golden Hamster),90.95719095719096
Gorilla gorilla gorilla (Gorilla),90.93101784852873
Bos indicus x Bos taurus (Hybrid - Bos Taurus),90.59334298118668
Sus scrofa (Pig - Hampshire),90.44862518089724
Papio anubis (Olive baboon),90.38095238095238
Cavia porcellus (Guinea Pig),90.20172910662824
Mandrillus leucophaeus (Drill),90.15918958031838
Vicugna pacos (Alpaca),89.70306513409962
Equus caballus (Horse),89.53168044077135
Erinaceus europaeus (Hedgehog),89.35251798561151
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),89.29088277858177
Heterocephalus glaber (Naked mole-rat),88.93499308437067
Ailuropoda melanoleuca (Giant panda),87.75510204081633
Phocoena sinus (Vaquita),86.3482875060299
Carlito syrichta (Tarsier),86.15533043897733
Ictidomys tridecemlineatus (Squirrel),86.10709117221418
Bos grunniens (Domestic yak),85.67293777134589
Cervus hanglu yarkandensis (Yarkand deer),85.62469850458272
Bos taurus (Cow),85.52821997105644
Panthera pardus (Leopard),85.383502170767
Phascolarctos cinereus (Koala),85.14230583695128
Delphinapterus leucas (Beluga whale),85.09406657018813
Rattus norvegicus (Rat),84.9493487698987
Dipodomys ordii (Kangaroo rat),84.8528702363724
Nomascus leucogenys (Gibbon),84.8528702363724
Chinchilla lanigera (Long-tailed chinchilla),84.70815243608297
Jaculus jaculus (Lesser Egyptian jerboa),84.5151953690304
Nannospalax galili (Upper Galilee mountains blind mole rat),84.5151953690304
Sarcophilus harrisii (Tasmanian devil),84.40937350549976
Microtus ochrogaster (Prairie vole),83.79160636758321
Octodon degus (Degu),83.74336710082007
Terrapene carolina triunguis (Three-toed box turtle),83.71537726838586
Chelonoidis abingdonii (Abingdon island giant tortoise),83.57211079274116
Gopherus evgoodei (Goodes thornscrub tortoise),83.57211079274116
Vombatus ursinus (Common wombat),82.68210323203087
Monodelphis domestica (Opossum),82.63386396526772
Pelodiscus sinensis (Chinese softshell turtle),82.59418216499762
Aquila chrysaetos chrysaetos (Golden eagle),82.52148997134671
Anser brachyrhynchus (Pink-footed goose),82.47373447946515
Anas platyrhynchos (Mallard),82.2961890979257
Strigops habroptila (Kakapo),81.99617956064948
Crocodylus porosus (Australian saltwater crocodile),81.78838951310861
Coturnix japonica (Japanese quail),81.5399330463893
Meleagris gallopavo (Turkey),80.9937288953208
Chrysemys picta bellii (Painted turtle),80.89318600368324
Gallus gallus (Chicken),80.0932400932401
Struthio camelus australis (African ostrich),80.04629629629629
Procavia capensis (Hyrax),79.84607984607985
Sphenodon punctatus (Tuatara),79.54655089242644
Capra hircus (Goat (black bengal)),79.01591895803183
Salvator merianae (Argentine black and white tegu),78.64954826438422
Laticauda laticaudata (Blue-ringed sea krait),77.90585975024015
Notechis scutatus (Mainland tiger snake),77.56964457252641
Taeniopygia guttata (Zebra finch),77.15517241379311
Serinus canaria (Common canary),76.6953199617956
Anolis carolinensis (Green anole),75.07958162801273
Ornithorhynchus anatinus (Platypus),73.90255668113845
Geospiza fortis (Medium ground-finch),73.32368547998071
Latimeria chalumnae (Coelacanth),73.27544621321755
Tupaia belangeri (Tree Shrew),73.22720694645442
Propithecus coquereli (Coquerel's sifaka),72.98601061263868
Echinops telfairi (Lesser hedgehog tenrec),72.23823246878001
Podarcis muralis (Common wall lizard),71.8694885361552
Xenopus tropicalis (Tropical clawed frog),71.76966292134831
Ficedula albicollis (Collared flycatcher),70.97933513027853
Leptobrachium leishanense (Leishan spiny toad),70.49486461251168
Sorex araneus (Shrew),70.08670520231213
