Variant Name,Species,Similarity,Score,Start,End
ZHX1,Myotis lucifugus (Microbat),92.45714285714286,2427.0,0,2820
ZHX1,Loxodonta africana (Elephant),87.93932667406585,2377.0,0,2948
ZHX1,Otolemur garnettii (Bushbaby),93.74523264683448,2458.0,0,2783
ZHX1,Chlorocebus sabaeus (Vervet-AGM),84.51563691838292,2216.0,0,2653
ZHX1,Mustela putorius furo (Ferret),91.9908466819222,2412.0,0,2829
ZHX1,Tupaia belangeri (Tree Shrew),89.20671243325705,2339.0,0,2884
ZHX1,Dasypus novemcinctus (Armadillo),93.97406559877956,2464.0,0,2774
ZHX1,Tursiops truncatus (Dolphin),90.23646071700992,2366.0,0,2875
ZHX1,Erinaceus europaeus (Hedgehog),90.50343249427918,2373.0,0,2850
ZHX1,Procavia capensis (Hyrax),89.23135464231355,2345.0,0,2905
ZHX1,Choloepus hoffmanni (Sloth),84.3630816170862,2212.0,0,3014
ZHX1,Notamacropus eugenii (Wallaby),81.46879756468797,2141.0,0,3109
ZHX1,Ictidomys tridecemlineatus (Squirrel),93.13501144164759,2442.0,0,2802
ZHX1,Chinchilla lanigera (Long-tailed chinchilla),91.07551487414187,2388.0,0,2853
ZHX1,Cricetulus griseus (Chinese hamster CriGri),87.71929824561403,2300.0,0,2944
ZHX1,Cercocebus atys (Sooty mangabey),98.81769641495042,2591.0,0,2653
ZHX1,Mus caroli (Ryukyu mouse),89.93135011441647,2358.0,0,2883
ZHX1,Capra hircus (Goat (black bengal)),92.02898550724638,2413.0,0,2831
ZHX1,Mus pahari (Shrew mouse),89.62623951182303,2350.0,0,2891
ZHX1,Mus spretus (Algerian mouse),89.81693363844394,2355.0,0,2886
ZHX1,Panthera tigris altaica (Tiger),91.72387490465293,2405.0,0,2836
ZHX1,Bos mutus (Wild yak),92.14340198321892,2416.0,0,2828
ZHX1,Neovison vison (American mink),91.95270785659801,2411.0,0,2830
ZHX1,Chelonoidis abingdonii (Abingdon island giant tortoise),82.2654462242563,2157.0,0,3081
ZHX1,Phascolarctos cinereus (Koala),84.8987108655617,2305.0,0,3032
ZHX1,Parus major (Great Tit),80.91428571428571,2124.0,0,3123
ZHX1,Crocodylus porosus (Australian saltwater crocodile),82.37986270022884,2160.0,0,3084
ZHX1,Coturnix japonica (Japanese quail),80.80000000000001,2121.0,0,3126
ZHX1,Bos taurus (Cow),92.10526315789474,2415.0,0,2829
ZHX1,Bos indicus x Bos taurus (Hybrid - Bos Taurus),92.10526315789474,2415.0,0,2829
ZHX1,Aquila chrysaetos chrysaetos (Golden eagle),81.25714285714287,2133.0,0,3114
ZHX1,Taeniopygia guttata (Zebra finch),80.95238095238095,2125.0,0,3122
ZHX1,Strigops habroptila (Kakapo),80.53333333333333,2114.0,0,3133
ZHX1,Serinus canaria (Common canary),80.57142857142857,2115.0,0,3132
ZHX1,Gorilla gorilla gorilla (Gorilla),99.73302822273074,2615.0,0,2629
